"年齢","昭和４５年","　　５０年","　　５５年","　　６０年","平成２年","　　７年","　　12年","　　１７年","　　２２年"
"男_総　　数","84.6","82.7","81.0","78.8","76.4","77.5","73.56060444038887","72.31578895666951","70.77930081710005"
"男_１５～１９歳","35.2","20.9","19.1","16.7","17.9","18.5","15.184054010609227","15.778228034628844","14.49238685731157"
"男_２０～２４","90.2","86.7","82.7","82.1","82.3","82.9","77.99480133679911","76.48264492269304","77.00199050681366"
"男_２５～２９","98.3","98.1","98.0","97.7","97.6","97.2","95.82237628496294","96.3088020873302","96.27363481621198"
"男_３０～３４","98.3","98.5","98.4","98.1","98.1","98.1","96.83721862267049","97.42872941754732","97.56609642301711"
"男_３５～３９","98.1","98.2","98.3","98.2","98.1","98.3","97.21034278570959","97.45500755598296","97.50772014099005"
"男_４０～４４","98.0","97.8","97.8","97.9","97.8","98.0","97.29411014788373","97.49284643684426","97.18543046357617"
"男_４５～４９","97.7","97.5","97.3","97.3","97.2","97.7","96.44444444444444","97.29239496075456","96.93938646849575"
"男_５０～５４","96.9","96.9","96.4","96.0","96.1","96.8","95.66327725973478","96.04421175101804","96.58271537436353"
"男_５５～５９","94.1","93.7","92.4","90.4","91.4","93.9","91.94834050826273","93.56221074026006","93.40051135509098"
"男_６０～６４","85.3","84.1","78.9","75.3","69.6","74.4","67.26070353006924","69.86611680655186","76.70286530029571"
"男_６５歳以上","53.3","47.1","44.5","40.5","37.7","41.8","35.98696768248536","34.23470909995027","32.669694979230464"
"女_総　　数","47.6","41.5","43.2","43.7","44.2","45.3","44.651473920084825","45.668628390197995","45.93781410504224"
"女_１５～１９歳","30.2","19.4","16.9","15.6","16.1","14.5","13.882553191489361","16.29658536585366","14.982861266462205"
"女_２０～２４","61.7","57.6","64.3","68.7","73.9","73.9","71.33219104733347","72.29400906192313","72.37805789447461"
"女_２５～２９","39.9","36.6","42.3","47.3","52.5","58.6","64.04358353510897","70.66517324854573","75.28884290394896"
"女_３０～３４","46.0","40.5","44.9","47.5","49.1","49.8","52.38523852385239","60.79603144672333","66.46514264122426"
"女_３５～３９","55.5","50.0","54.1","56.0","58.2","59.0","58.919649679656736","63.806187974314064","67.54705706602928"
"女_４０～４４","63.7","55.0","59.1","62.7","63.8","64.6","67.28355669006595","70.64049462752865","72.35803291163322"
"女_４５～４９","64.6","59.2","59.1","61.4","65.1","65.7","67.5220119012359","72.44338424362589","74.57078875342124"
"女_５０～５４","61.6","56.2","57.6","56.6","59.2","61.8","63.313424154978414","66.51996919353064","71.06814054983911"
"女_５５～５９","53.8","49.2","50.1","48.6","49.2","53.6","55.00483190071716","57.98346055979644","60.90335661184951"
"女_６０～６４","41.9","37.4","38.7","37.4","36.2","38.6","38.04387313120022","39.695347453901256","45.023952658275405"
"女_６５歳以上","18.0","14.2","15.5","14.7","14.4","16.3","15.462208930037741","14.995417301238362","14.618843391317323"
